epoch,accuracy,loss,val_accuracy,val_loss
0,0.9535801410675049,0.12342073768377304,0.956476628780365,0.11669027805328369
1,0.9581244587898254,0.11198711395263672,0.9491647481918335,0.13154113292694092
2,0.961362361907959,0.10188072919845581,0.9561619758605957,0.14503996074199677
3,0.9634259343147278,0.09684529155492783,0.9614775776863098,0.09929295629262924
4,0.9618262052536011,0.10280247777700424,0.9596695303916931,0.10864117741584778
5,0.9645488858222961,0.09352521598339081,0.961757242679596,0.10000570863485336
6,0.7754555940628052,0.46138206124305725,0.7406132817268372,0.49344485998153687
7,0.9542396664619446,0.1207728236913681,0.9592620134353638,0.11068850755691528
8,0.9651167392730713,0.09233670681715012,0.9628623723983765,0.09773150831460953
9,0.9664379954338074,0.08853741735219955,0.9608598947525024,0.11192081868648529
10,0.9683157801628113,0.0820348784327507,0.962406575679779,0.10277184844017029
11,0.9686042666435242,0.08089359849691391,0.9630412459373474,0.10199195146560669
12,0.9672633409500122,0.08609697967767715,0.9601058959960938,0.1049942597746849
13,0.9688079357147217,0.08176545053720474,0.9639998078346252,0.1002192571759224
